,R_A,R_2,R_3,R_4,R_5,R_6,R_7,R_8,R_9,R_10
BUSTED,,,,,,,,,,
BJ,,,,,,,,,,
S11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S12,-0.6243905676543297,-0.07156995790818826,-0.007228094510438848,0.05842651874375601,0.12595448524868347,0.17974820582791454,-0.1838655800163826,-0.31444090236734046,-0.4563669632837095,-0.5140284882483108
S13,-0.6243905676543297,-0.07156995790818826,-0.007228094510438848,0.05842651874375601,0.12595448524868347,0.17974820582791454,-0.1838655800163826,-0.31444090236734046,-0.4563669632837095,-0.5140284882483108
S14,-0.6243905676543299,-0.07156995790818826,-0.007228094510438793,0.05842651874375601,0.12595448524868347,0.17974820582791454,-0.1838655800163827,-0.31444090236734046,-0.4563669632837095,-0.5140284882483108
S15,-0.6243905676543299,-0.07156995790818826,-0.007228094510438848,0.05842651874375601,0.12595448524868347,0.17974820582791454,-0.1838655800163826,-0.31444090236734046,-0.4563669632837096,-0.5140284882483108
S16,-0.6243905676543299,-0.07156995790818826,-0.007228094510438848,0.05842651874375601,0.12595448524868347,0.17974820582791454,-0.1838655800163826,-0.31444090236734046,-0.4563669632837096,-0.5140284882483108
S17,-0.537197967797051,-0.007042662741542249,0.0550952844793173,0.11865255067433944,0.18237815537355284,0.2561042872909974,-0.013758105957503153,-0.25510249723695433,-0.4009844518286826,-0.45831631898700376
S18,-0.36281276808249324,0.11974956336726948,0.17764127567895505,0.2370038477556315,0.29522549562329164,0.38150648207879256,0.21994796642061054,-0.029916811236536972,-0.2902194289186283,-0.34689198046438974
S19,-0.18842756836793534,0.2418554635825149,0.29582413587423784,0.3511536112771744,0.40597206909315586,0.4795987087282174,0.3198351949207088,0.1952688747638804,-0.07294553026892908,-0.2354676419417757
S20,-0.014042368653377546,0.35893941244232064,0.4093206701759543,0.46094024379436227,0.512517109003271,0.5755901685977678,0.39241245528243673,0.2866357168862823,0.14432836838077018,-0.008658688034546197
S21,,,,,,,,,,
H2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H4,-1.33390154937097,-0.5855674544185193,-0.5045004584714021,-0.42212621798981453,-0.33438532167094487,-0.3073980316600093,-0.9507503665538677,-1.0210350309952363,-1.0862993622622201,-1.080860667989972
H5,-1.33390154937097,-0.5855674544185193,-0.5045004584714021,-0.42212621798981453,-0.33438532167094487,-0.3073980316600093,-0.9507503665538677,-1.0210350309952363,-1.0862993622622201,-1.080860667989972
H6,-1.304837349418544,-0.5640583560296373,-0.48372599880815004,-0.40205087401295336,-0.3155774316293217,-0.28194600450564833,-0.8940478752009079,-1.001255562618441,-1.0678385251105444,-1.0622899449028698
H7,-1.1304521497039859,-0.4357578871045054,-0.3597794964219292,-0.2822990657450782,-0.20273009137958298,-0.13833716429227286,-0.5893358856630307,-0.847075793777787,-0.9570735022004903,-0.9508656063802556
H8,-0.8107459502272967,-0.20449052049879268,-0.1362160950940659,-0.06637207115264662,0.00345644348497999,0.0870151981289567,-0.1877295549725534,-0.4519868487336293,-0.7185013349521759,-0.7465876524221299
H9,-0.4329113508457547,0.06111850316662237,0.12081635333001457,0.18194893405243176,0.24305722487304002,0.317054745701666,0.1042503519604846,-0.02644228964867107,-0.3009956590809835,-0.46670671382826096
H10,-0.014042368653377546,0.35893941244232064,0.4093206701759543,0.46094024379436227,0.512517109003271,0.5755901685977678,0.39241245528243673,0.2866357168862823,0.14432836838077018,-0.008658688034546197
H11,0.10906077977912843,0.4706409233394891,0.517795253122231,0.566040550417984,0.6146990179090309,0.6673800949075689,0.46288894886429,0.3506925908703138,0.22778342315245392,0.17968872741114494
H12,-0.8293439370786468,-0.5067799719332592,-0.46738179959616133,-0.4270731064901473,-0.3865423388525644,-0.34105239981515956,-0.5067116210767311,-0.6156608928303446,-0.7375056210491803,-0.7968405904052425
H13,-0.880582279434726,-0.6155824754395269,-0.5824202258675919,-0.5484480127986231,-0.5146665448778762,-0.47125255122592813,-0.5874231313418181,-0.6909658904460957,-0.807790285490548,-0.8675436159444754
H14,-0.9318206217908054,-0.7243849789457948,-0.6974586521390226,-0.6698229191070989,-0.6427907509031883,-0.6014527026366966,-0.6681346416069052,-0.7662708880618468,-0.8780749499319157,-0.9382466414837083
H15,-0.9830589641468845,-0.8331874824520626,-0.8124970784104533,-0.7911978254155748,-0.7709149569285003,-0.7316528540474653,-0.7488461518719924,-0.841575885677598,-0.9483596143732834,-1.0089496670229414
H16,-1.0342973065029637,-0.9419899859583302,-0.9275355046818837,-0.9125727317240506,-0.8990391629538121,-0.8618530054582337,-0.8295576621370795,-0.9168808832933489,-1.018644278814651,-1.0796526925621743
