,R_A,R_2,R_3,R_4,R_5,R_6,R_7,R_8,R_9,R_10
BUSTED,,,,,,,,,,
BJ,,,,,,,,,,
S11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S12,-0.020477877704903766,0.08183621605166527,0.10350704654208429,0.1265956280925747,0.15648238458465702,0.18595361333225516,0.1654729307706346,0.09511502092703186,6.5790841226529e-05,-0.07000239735796521
S13,-0.0573080466668021,0.046636132695321346,0.07411881339275239,0.10247714687204028,0.13336273848321922,0.16169271124923662,0.12238569517899157,0.05405707019631088,-0.037694688127480294,-0.10485135840627832
S14,-0.09387432476830222,0.022391856987851268,0.050806738919291425,0.08008141431011546,0.11189449567474125,0.1391647307435765,0.0795074884944678,0.01327721946320802,-0.07516318944168422,-0.13946678217545502
S15,-0.13002650167843088,-0.0001206847405137712,0.029159812622506234,0.05928537693118527,0.09195969878115454,0.11824589170260641,0.03702828227926886,-0.027054780502902123,-0.1121887686899433,-0.17370423031226842
S16,-0.16563717206686612,-0.02102518777399562,0.009059095346919996,0.039974770793607214,0.07344881595139546,0.09882125545027705,-0.004890157173016274,-0.06679484792009455,-0.14864353463007512,-0.2074410900306825
S17,-0.17956936979240506,-0.0004910435828764936,0.028975282965629442,0.05932627533716972,0.09118907768677642,0.1280521436454987,0.053823463716116245,-0.07291539872964276,-0.14978689218213376,-0.1968669762336353
S18,-0.09293549176927224,0.06290506947152935,0.09024827856544831,0.11850192387781575,0.14761274781164582,0.19075324103939628,0.17067649990517308,0.03967744427056598,-0.10074430758041569,-0.14380812317405417
S19,-0.005742891911993342,0.12395801957915205,0.1493397086630897,0.1755768056385872,0.20298603454657793,0.2397993543641087,0.2206201141552222,0.15227028727077463,0.00789264174443391,-0.08809595391274715
S20,0.08144970794528553,0.18249999400905492,0.20608797581394794,0.23047012189718113,0.2562585545016355,0.2877950842988839,0.2569087443360862,0.19795370833197556,0.11652959106928354,0.0253085230408676
S21,,,,,,,,,,
H2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H4,-0.25307699440390047,-0.1149133276189074,-0.08261331429973452,-0.04936742010691085,-0.012379926519924051,0.01113041728097956,-0.08827920105846403,-0.15933415266020556,-0.24066617915336577,-0.28919791448567567
H5,-0.2785745975518118,-0.12821556706373324,-0.09531022726147985,-0.06147946419968811,-0.023978970391857257,-0.0011863378384404056,-0.11944744188414885,-0.18809330390318565,-0.2666150533579594,-0.3134116433649716
H6,-0.3041466309756917,-0.1407591174600054,-0.10729107800859816,-0.0729171419263811,-0.03491597333009978,-0.013005835529874516,-0.1519327072366998,-0.21724188132078515,-0.2926407001977263,-0.3377494403784086
H7,-0.3100716503316246,-0.10918342786660228,-0.07658298190445369,-0.04302179400433587,-0.007271360902938617,0.02918534235386056,-0.06880779958042815,-0.2106047687243503,-0.28536544048687706,-0.3190547913983391
H8,-0.19702881057415136,-0.021798188008792962,0.008005262530663693,0.03878447327721422,0.07080463598303582,0.11496015009622279,0.0822074393637424,-0.05989827565865687,-0.21018633199821812,-0.24937508055334326
H9,-0.06568077877805509,0.0744460375763519,0.1012647017388848,0.1289808811957466,0.15803185626651906,0.1960188392572783,0.17186785993695217,0.09837621743539199,-0.05217805346265215,-0.15295298487455136
H10,0.08144970794528553,0.18249999400905492,0.20608797581394794,0.23047012189718113,0.2562585545016355,0.2877950842988839,0.2569087443360862,0.19795370833197556,0.11652959106928354,0.0253085230408676
H11,0.1430012821615385,0.23835074945763915,0.26032526728708627,0.283020275208992,0.30734950895451546,0.33369004745378444,0.2921469911270128,0.22998214532399133,0.1582571184551254,0.11948223076371317
H12,-0.3505403404400731,-0.2533899859666296,-0.23369089979808066,-0.21353655324507365,-0.1932711694262822,-0.17052619990757978,-0.21284771451731452,-0.2715748050242865,-0.3400132806089358,-0.38104299284808807
H13,-0.39693031612292495,-0.30779123771976347,-0.29121011293379595,-0.27422400639931155,-0.2573332724389381,-0.23562627561296406,-0.2690728777660778,-0.3236051760939803,-0.387155189136869,-0.4252542076446532
H14,-0.4400067221141446,-0.3621924894728974,-0.3487293260695113,-0.33491145955354945,-0.32139537545159413,-0.3007263513183483,-0.3212819579256436,-0.3719190920872674,-0.43092981848423556,-0.466307478527178
H15,-0.48000624196313435,-0.4165937412260313,-0.40624853920522663,-0.3955989127077874,-0.38545747846425016,-0.36582642702373264,-0.36976181807381203,-0.4167820140810341,-0.47157768859250443,-0.504428372918094
H16,-0.5171486532514818,-0.4709949929791651,-0.46376775234094186,-0.4562863658620253,-0.44951958147690607,-0.43092650272911687,-0.41477883106853974,-0.45844044164667447,-0.5093221394073255,-0.5398263462810872
H17,-0.5572999244057345,-0.53615079392674,-0.5316741953082831,-0.5270114910046937,-0.5229856295103735,-0.5087525920116814,-0.4834858318775631,-0.5059826746429477,-0.5536948902038472,-0.5844632205942547
