,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,BUSTED,BJ,H21,S21
H2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H4,0.0,0.0,0.0,0.0,0.06412478336221837,0.07452339688041594,0.06412478336221837,0.08838821490467938,0.0779896013864818,0.08492201039861352,0.08145580589254767,0.06932409012131716,0.3362218370883882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058925476603119586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H5,0.0,0.0,0.0,0.0,0.0,0.08304794520547945,0.07534246575342465,0.09075342465753425,0.07191780821917808,0.09417808219178082,0.059075342465753425,0.07448630136986302,0.07191780821917808,0.300513698630137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07876712328767123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H6,0.0,0.0,0.0,0.0,0.0,0.0,0.08761160714285714,0.06584821428571429,0.08147321428571429,0.07756696428571429,0.07645089285714286,0.08872767857142858,0.0703125,0.06417410714285714,0.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07533482142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07659574468085106,0.07311411992263056,0.07117988394584139,0.07620889748549323,0.0781431334622824,0.07852998065764023,0.0816247582205029,0.07969052224371373,0.3160541586073501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06885880077369438,0.0,0.0,0.0,0.0,0.0,0.0
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0657855211775308,0.0814058275758486,0.08440973265244818,0.07269450285370982,0.0735956743766897,0.07840192249924903,0.08471012316010815,0.07840192249924903,0.30759987984379694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07299489336136979,0.0,0.0,0.0,0.0,0.0
H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07130170007612281,0.0763765541740675,0.07054047196143111,0.07916772392793707,0.07460035523978685,0.07840649581324537,0.07383912712509515,0.08145140827201218,0.31261101243339257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08170515097690942,0.0,0.0,0.0,0.0
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07746188710341986,0.07519571487433045,0.07560774618871034,0.08323032550473836,0.07025133910177174,0.07437165224557066,0.08220024721878863,0.07869798104655953,0.30284301606922126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08014009064688916
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07295311406578027,0.07697690692792163,0.0815255423372988,0.07102869139258222,0.077851644506648,0.07872638208537439,0.07960111966410077,0.0734779566130161,0.07312806158152554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3147305808257523,0.0
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07781027998328457,0.07555369828666945,0.07914751358127874,0.07847889678228165,0.07095695779356456,0.07839531968240702,0.07923109068115336,0.0768909318846636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3046385290430422,0.0,0.07889678228165482,0.0
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07767618739380208,0.0754915446233514,0.0733878145481026,0.07371146532891011,0.07913261590743588,0.08552471882838418,0.07678614774658143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38473986568492596,0.0,0.07354963993850636,0.0
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07742639040348964,0.08210001557875059,0.07532325907462221,0.07781585916809472,0.07392117152204393,0.07555694033338527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4608194422807291,0.0,0.07703692163888456,0.0
