,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,BUSTED,BJ,NotBJ
R_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2056657223796034,0.21510859301227572,0.2113314447592068,0.10651558073654391,0.2613786591123702,0.0,0.0
R_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14999359549122582,0.14000256180350967,0.1369283975919047,0.13039579864224413,0.4426796464711157,0.0,0.0
R_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13029949436017113,0.1401529884610398,0.12939193569298588,0.12394658368987424,0.47620899779592896,0.0,0.0
R_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1427831715210356,0.1370873786407767,0.11909385113268608,0.12233009708737864,0.478705501618123,0.0,0.0
R_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13144329896907217,0.12525773195876289,0.12641752577319587,0.11804123711340206,0.498840206185567,0.0,0.0
R_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12178742089629342,0.12152912307890998,0.11933359163115072,0.11662146454862457,0.5207283998450213,0.0,0.0
R_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17489020924825627,0.10811159907000775,0.10991991733402222,0.10023249806251615,0.5068457762851977,0.0,0.0
R_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36611515552614166,0.13951025810721376,0.08193249503639974,0.07557908669755128,0.3368630046326936,0.0,0.0
R_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1285336856010568,0.3690885072655218,0.1287978863936592,0.07001321003963012,0.3035667107001321,0.0,0.0
R_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13055594750952448,0.13260194722731763,0.37512346550021164,0.049527303513475375,0.3121913362494709,0.0,0.0
BJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04742,0.95258
