,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,BUSTED,BJ,NotBJ
R_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1955572432124549,0.18967153977596354,0.1824568065312322,0.18739320296183787,0.0774634516802734,0.16745775583823808,0.0,0.0
R_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14294921371487496,0.13392626965712812,0.1317349832431039,0.11665377674658417,0.11691157514823408,0.3578241814900748,0.0,0.0
R_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1341367566151428,0.13033796175006548,0.12103746397694524,0.12221640031438302,0.11409483887870055,0.3781765784647629,0.0,0.0
R_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13391805210106034,0.12213640528865034,0.12056551904699568,0.11676921062966357,0.1175546537504909,0.3890561591831391,0.0,0.0
R_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12136239070859976,0.12371134020618557,0.12175388229153074,0.10805167688894689,0.11027012919222237,0.4148505807125147,0.0,0.0
R_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1623317213436152,0.10965886812181415,0.10377728401516141,0.10233956345575741,0.09502025878970069,0.4268723042739511,0.0,0.0
R_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36637763685777147,0.13964022259609163,0.08192053837194253,0.07726155040766144,0.07739096674000259,0.25740908502653037,0.0,0.0
R_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13551401869158877,0.3537123572170301,0.12603842159916925,0.06684839044652129,0.06814641744548286,0.2497403946002077,0.0,0.0
R_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11854536042448557,0.12009835641257927,0.34851818299469395,0.12152193606833182,0.06173159052672447,0.22958457357318493,0.0,0.0
R_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1204929256047467,0.12291542323491206,0.1222483586700839,0.3672014886072394,0.03798757153389741,0.22915423234912052,0.0,0.0
BJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04747,0.95253
