,dealer_open,player_hand,action,reward
0,R_6,H17,NO_ACTION,0
1,R_6,H17,NO_ACTION,0
2,R_6,H17,STAND,-1
3,R_7,H13,NO_ACTION,0
4,R_7,H13,NO_ACTION,0
5,R_7,H13,HIT,-1
6,R_4,H15,NO_ACTION,0
7,R_4,H15,NO_ACTION,0
8,R_4,H15,STAND,-1
9,R_5,H11,NO_ACTION,0
10,R_5,H11,NO_ACTION,0
11,R_5,H11,DOUBLE_DOWN,-2
12,R_10,H12,NO_ACTION,0
13,R_10,H12,NO_ACTION,0
14,R_10,H12,HIT,0
15,R_10,H13,HIT,0
16,R_10,H19,STAND,-1
17,R_10,H17,NO_ACTION,0
18,R_10,H17,NO_ACTION,0
19,R_10,H17,STAND,-1
20,R_3,H18,NO_ACTION,0
21,R_3,H18,NO_ACTION,0
22,R_3,H18,STAND,1
23,R_9,P18,NO_ACTION,0
24,R_9,P18,NO_ACTION,0
25,R_9,P18,SPLIT,0
26,R_9,H9,HIT,0
27,R_9,H16,HIT,0
28,R_9,H9,HIT,0
29,R_9,H19,STAND,-2
30,R_4,S19,NO_ACTION,0
31,R_4,S19,NO_ACTION,0
32,R_4,S19,STAND,-1
33,R_10,H8,NO_ACTION,0
34,R_10,H8,NO_ACTION,0
35,R_10,H8,HIT,0
36,R_10,H10,HIT,0
37,R_10,H20,STAND,0
38,R_10,H16,NO_ACTION,0
39,R_10,H16,NO_ACTION,0
40,R_10,H16,HIT,-1
41,R_10,H12,NO_ACTION,1
42,R_9,H15,NO_ACTION,0
43,R_9,H15,NO_ACTION,0
44,R_9,H15,HIT,-1
45,R_3,H18,NO_ACTION,0
46,R_3,H18,NO_ACTION,0
47,R_3,H18,STAND,-1
48,R_5,H19,NO_ACTION,0
49,R_5,H19,NO_ACTION,0
50,R_5,H19,STAND,-1
51,R_9,S15,NO_ACTION,0
52,R_9,S15,NO_ACTION,0
53,R_9,S15,HIT,0
54,R_9,H15,HIT,-1
55,R_10,H14,NO_ACTION,0
56,R_10,H14,NO_ACTION,0
57,R_10,H14,HIT,-1
58,R_3,H7,NO_ACTION,0
59,R_3,H7,NO_ACTION,0
60,R_3,H7,HIT,0
61,R_3,H9,HIT,0
62,R_3,H12,HIT,-1
63,R_10,H17,NO_ACTION,1
64,R_5,H12,NO_ACTION,0
65,R_5,H12,NO_ACTION,0
66,R_5,H12,STAND,-1
67,R_5,H9,NO_ACTION,0
68,R_5,H9,NO_ACTION,0
69,R_5,H9,DOUBLE_DOWN,-2
70,R_4,H15,NO_ACTION,0
71,R_4,H15,NO_ACTION,0
72,R_4,H15,STAND,-1
73,R_7,S20,NO_ACTION,0
