,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,BUSTED,BJ,NotBJ
R_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18891729969077095,0.18891729969077095,0.18891729969077095,0.18891729969077095,0.07780618857965876,0.16652461265725751,0.0,0.0
R_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.139809139527733,0.13490735037469237,0.12965543342500602,0.12402645577123965,0.11799348450595884,0.35360813639537025,0.0,0.0
R_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13503398781113837,0.1304823264547434,0.1255805373017027,0.12032862035201627,0.11469964269824977,0.3738748853821494,0.0,0.0
R_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13048973584959728,0.12593807449320227,0.12138641313680731,0.11648462398376659,0.11123270703408009,0.39446844550254634,0.0,0.0
R_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12225128527055037,0.12225128527055037,0.1176996239141554,0.11314796255776041,0.10824617340471968,0.41640366958226377,0.0,0.0
R_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1654381765033461,0.10626657887021022,0.10626657887021022,0.10171491751381545,0.09716325615742033,0.4231504920849977,0.0,0.0
R_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3685661937942387,0.13779696302500752,0.0786253653918719,0.0786253653918719,0.0740737040354768,0.262312408361533,0.0,0.0
R_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12856654444916987,0.3593357752184011,0.12856654444916987,0.0693949468160341,0.0693949468160341,0.24474124225119095,0.0,0.0
R_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11999544148589195,0.11999544148589195,0.3507646722551231,0.11999544148589195,0.06082384385275606,0.2284251594344449,0.0,0.0
R_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12070970006616517,0.12070970006616517,0.12070970006616517,0.3707097000661655,0.037376366732831935,0.22978483300250707,0.0,0.0
BJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04733727810652867,0.9526627218934713
