,R_A,R_2,R_3,R_4,R_5,R_6,R_7,R_8,R_9,R_10
BUSTED,,,,,,,,,,
BJ,,,,,,,,,,
S11,,,,,,,,,,
S12,0.7475191875412216,1.0865045968401579,1.1767592972576921,1.2689828941086816,1.362624095393101,1.4543457358550396,1.0826051573181779,0.9594446346310408,0.7849244413023562,0.6465414531640072
S13,,,,,,,,,,
S14,,,,,,,,,,
S15,,,,,,,,,,
S16,,,,,,,,,,
S17,,,,,,,,,,
S18,,,,,,,,,,
S19,,,,,,,,,,
S20,,,,,,,,,,
S21,,,,,,,,,,
H2,,,,,,,,,,
H3,,,,,,,,,,
H4,,,,,,,,,,
H5,,,,,,,,,,
H6,,,,,,,,,,
H7,,,,,,,,,,
H8,,,,,,,,,,
H9,,,,,,,,,,
H10,,,,,,,,,,
H11,,,,,,,,,,
H12,,,,,,,,,,
H13,,,,,,,,,,
H14,,,,,,,,,,
H15,,,,,,,,,,
H16,,,,,,,,,,
H17,,,,,,,,,,
H18,,,,,,,,,,
H19,,,,,,,,,,
H20,,,,,,,,,,
H21,,,,,,,,,,
P4,-0.4303428081275961,-0.1574387764869478,-0.10209958121481962,-0.043405963373925646,0.03358929396795556,0.08801857875592849,-0.049319403012226905,-0.2135525790718014,-0.4015447640998869,-0.5139650127506071
P6,-0.4792178096376898,-0.21031976130885796,-0.1424379686422646,-0.07246187980109373,0.005763896946321128,0.05847313594280943,-0.10917401859517771,-0.26875174283572867,-0.4513090218471758,-0.5603367356282666
P8,-0.5537117085360547,-0.26183103481151043,-0.1918776887733356,-0.11989165767398105,-0.039462082120291744,0.007999401402841643,-0.2163685315754927,-0.35847907911452703,-0.5230471315849643,-0.6290144056510447
P10,-0.6553951801880711,-0.32395899999462363,-0.25165252072863775,-0.17733262844500036,-0.09476047851992217,-0.04701386951930614,-0.3151723650151259,-0.4645158872122707,-0.6331931371444113,-0.727151257463914
P12,-0.647947557568508,-0.2858456578359156,-0.21164234928167558,-0.13579907998473983,-0.054853375248619086,-0.006367464172017396,-0.3178681375435664,-0.45954667919807546,-0.6230149572856859,-0.7207997865889292
P14,-0.6478566204400342,-0.20691810627534993,-0.13792223066632367,-0.06680981554925088,0.008941884198675887,0.09099679248275581,-0.10935923627396585,-0.42879268288892103,-0.5922387367413723,-0.6645406757612166
P16,-0.37512053928627515,-0.005259860449636123,0.05728141033779327,0.12197387817740316,0.1891172616278476,0.28893865650359174,0.25352160331148854,-0.06769749126664287,-0.4066881293178378,-0.4924307480029324
P18,-0.13615581631656218,0.15306902483451995,0.24163270666002906,0.3638978681048635,0.4861144497460799,0.6341094914033318,0.3351482664181124,0.21072183275565487,-0.09223191465636126,-0.3255374675879661
P20,-0.00414437158993719,0.7541845124249361,0.8539335381052161,0.9561059359069031,1.0583407329003014,1.1810767237055106,0.8076168194988662,0.594623725100575,0.30737176563931123,-0.005816955535913326
